"filename", "language", "Rust", "TOML", "JSON with Comments", "Markdown", "YAML", "Shell Script", "Makefile", "JSON", "PowerShell", "XML", "C++", "C", "Python", "JavaScript", "HTML", "CSS", "TypeScript", "Ignore", "Go", "Java", "Ini", "comment", "blank", "total"
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/Binary_Search/main.ny", "Rust", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/Binary_Search/nyra.mod", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/Binary_Search/src/search.ny", "Rust", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/Calculator/main.ny", "Rust", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/Calculator/nyra.mod", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/Calculator/src/calc.ny", "Rust", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 69
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/CsvReader/main.ny", "Rust", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/CsvReader/nyra.mod", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/CsvReader/src/csv.ny", "Rust", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 62
"/Volumes/Macbook/npm_projects/me/nyra/Apps/Basics/DFS/main.ny", "Rust", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
